ID,cage_number,monkey_number,sex,species,age,weight,height,bmi,pregnant,lactation,diarrhea,CT_value,parasite_load,sub_type,identity,batch,info,class
MH107,J2-56,190023,male,mmul,2,3.2,0.33,29.385,No,No,No,17.86182213,8233.290682,ST3,0.9747,1,non,positive
MH108,J2-59,190009,male,mmul,2,3.3,0.33,30.303,No,No,No,22.71644783,344.7091256,ST3,0.9791,1,non,positive
MH109,G160-MH,*,male,mmul,6,6.1,0.43,32.991,No,No,No,18.14175224,7006.972581,ST1,0.9981,1,non,positive
MH110,G130-MH,9,male,mmul,12,7.8,0.5,31.2,No,No,No,14.97267723,25636.90919,ST3,0.9964,1,non,positive
MH111,J3-8,200007,male,mmul,1,2.5,0.27,34.294,No,No,No,23.14650345,271.3454734,ST3,0.9946,1,non,positive
MH112,G4-21,1907031,male,mmul,15,10.6,0.5,42.4,No,No,No,16.177742,13111.16915,ST3,0.9819,2,non,positive
MH113,G4-19,1407015,male,mmul,15,9.6,0.5,38.4,No,No,No,20.19597054,1401.421145,ST1,0.9963,2,non,positive
MH114,G114-MH,16,male,mmul,5,6.8,0.43,36.777,No,No,No,30.60874748,4.267223045,ST3,0.9964,1,non,positive
MH115,G115-MH,5,male,mmul,16,5.6,0.5,22.4,No,No,No,18.71930313,3187.353784,ST3,0.9982,1,non,positive
MH116,G152-MH,13,female,mmul,8,2.3,0.46,10.87,No,No,No,27.03496933,31.17519377,ST3,0.9898,1,non,positive
MH117,J3-13,180504,female,mmul,3,3.5,0.3,38.889,No,No,No,25.23257065,84.99418784,ST3,0.9932,1,non,positive
MH118,J3-6,180338,female,mmul,3,2.7,0.3,30,No,No,No,31.26238251,2.966083727,ST3,0.9982,1,non,positive
MH119,G119-MH,10,male,mmul,11,9.8,0.5,39.2,No,No,No,18.84558868,2971.058722,ST3,0.9928,1,non,positive
MH120,G3-13,11,male,mmul,10,10.8,0.5,43.2,No,No,No,20.61391068,1686.384091,ST3,92.39,1,non,positive
MH121,G121-MH,16,male,mmul,5,7.1,0.43,38.399,No,No,No,15.70005226,17103.42984,ST1,0.9893,1,non,positive
MH122,J3-14,190004,female,mmul,2,4.3,0.3,47.778,No,No,No,24.14291382,155.8558813,ST1,0.912,1,non,positive
MH123,J3-7,190078,female,mmul,2,2.5,0.3,27.77777778,No,No,No,28.780756,11.80076994,ST3,0.9838,1,non,positive
MH124,J3-3,190093,female,mmul,2,2.9,0.3,32.22222222,No,No,No,24.90294647,102.1053444,ST1,0.9291,1,non,positive
MH125,J3-21,458,female,mmul,4,3.5,0.35,28.57142857,No,No,No,15.83833694,15836.68879,ST3,0.9926,1,non,positive
MH126,G126-MH,14,male,mmul,7,5.8,0.43,31.36830719,No,No,No,17.02545547,8180.449168,ST3,0.9944,1,non,positive
MH127,G127-MH,*,female,mmul,4,2.3,0.4,14.375,No,Yes,No,18.16566467,4337.368792,ST1,0.9981,1,non,positive
MH128,G128-MH,9,male,mmul,12,11.9,0.5,47.6,No,No,No,15.71865273,16927.31571,ST1,0.926,1,non,positive
MH129,G129-MH,11,male,mmul,10,6,0.5,24,No,No,No,15.43800068,33269.99054,ST1,0.9982,1,non,positive
MH130,G157-MH,8,female,mmul,13,5.6,0.56,17.85714286,Yes,No,No,22.34344482,622.5857138,ST1,0.9964,1,non,positive
MH131,G148-MH,15,male,mmul,6,6.1,0.4,38.125,No,No,No,16.87237358,8907.831106,ST3,0.883,1,non,positive
MH132,G166-MH,10,male,mmul,11,11.4,0.5,45.6,No,No,No,18.36129761,3889.988786,ST3,0.9395,1,non,positive
