ID,parasite_load,species,ST1,ST2,ST3,ST5,unclassify,Pattern,Pattern_class,sex,age,bmi,parasite_load_log,ST1_abs,ST2_abs,ST3_abs
SX23,11.73316565,mfas,78.7024456521739,3.061917701863354,18.23563664596273,0,0,Pattern_1,ST1_dom,female,6,19.687,3.5525204050479187,923.4288318970788,35.925987602630045,213.96174550029113
SX24,0.232082503,mfas,7.125873447204969,0,84.61762422360249,0,8.256502329192546,Unclass,Unclass,male,4,25.419,-2.107290334749782,1.6537905456885675,0,19.638270027727096
SX25,7.568483237,mfas,0,0,98.828125,0,1.171875,Pattern_2,ST3_dom,male,4,11.898,2.920004205665488,0,0,747.9790074066406
SX26,1.279666463,mfas,0,0,100,0,0,Pattern_2,ST3_dom,female,3,26.667,0.35576782985007255,0,0,127.96664630000001
SX27,3.227086724,mfas,6.502329192546584,16.272806677018632,74.44196428571429,2.770768633540373,0.01213121118012422,Pattern_2,ST3_dom,female,3,26.667,1.6902323490066145,20.98358021234472,52.51375838962538,240.23067465491073
SX28,37.27359595,mfas,21.993885869565215,28.76067546583851,49.240586180124225,0.00242624223602484,0.00242624223602484,Pattern_2,ST3_dom,male,3,34.894,5.220082103891777,819.7912152725883,1072.0137965627428,1835.3737136191044
SX29,9.117035345,mfas,10.554153726708076,7.482531055900621,81.94875776397515,0,0.01455745341614906,Pattern_2,ST3_dom,female,4,18.125,3.1885647686445835,96.222592562961,68.21850010670613,747.1297210130047
SX30,0.142639504,mfas,30.512422360248447,4.966517857142857,52.97942546583852,0,11.541634316770184,Unclass,Unclass,female,3,28.889,-2.809554503483048,4.352276791304348,0.7084216437499999,7.556958970652175
SX31,1.163701767,mfas,11.929833074534162,0,82.42672748447205,0,5.643439440993789,Unclass,Unclass,male,3,21.12,0.21872137233661554,13.882767828850447,0,95.9201284217076
SX32,1.050909526,mfas,8.596176242236025,14.108598602484474,77.2952251552795,0,0,Pattern_2,ST3_dom,female,6,18.75,0.07163847138424838,9.033803500140722,14.826860669861222,81.23028842999805
SX33,0.433540136,mfas,30.0587150621118,10.493497670807454,54.24592391304349,0,5.201863354037267,Unclass,Unclass,male,5,26.501,-1.2057625343634852,13.0316594160132,4.549352407317547,23.51778523070653
SX35,1.444033068,mfas,1.5212538819875776,8.746603260869565,89.25174689440993,0,0.4803959627329193,Pattern_2,ST3_dom,male,4,30.287,0.5301037799628736,2.1967409104134314,12.630384341372281,128.88247389229426
SX36,12.11574442,mfas,20.239712732919255,21.731851708074533,57.98718944099379,0,0.04124611801242236,Pattern_2,ST3_dom,male,3,28.466,3.5988111449963083,245.21918660626943,263.2975610683715,702.5579669012035
SX37,1.693907028,mfas,20.700698757763973,0,79.29930124223603,0,0,Pattern_2,ST3_dom,male,4,38.94,0.7603546928966646,35.065059110287265,0,134.32564368971273
SX38,3.710362996,mfas,19.747185559006212,23.35258152173913,55.934588509316775,0,0.9656444099378882,Pattern_2,ST3_dom,male,4,22.174,1.891560336956865,73.269226573282225,86.64655433933424,207.53762740145578
SX39,0.145499761,mfas,10.964188664596271,0.00242624223602484,89.0236801242236,0,0.00970496894409937,Pattern_2,ST3_dom,male,5,22.174,-2.78091131154348,1.5952868302576666,3.5301766546971987e-4,12.952924181414986
